"Дата";"Регион название";"БольныеНаНаселение"
06.04.2020;Республика Ингушетия;0.004215085263271591
06.04.2020;Республика Калмыкия;0.006276288441618328
06.04.2020;Республика Карелия;0.0003212933987058302
06.04.2020;Республика Коми;0.017940538328278213
06.04.2020;Республика Крым;0.0009704304613045705
06.04.2020;Республика Марий Эл;0.00602973286399121
06.04.2020;Республика Мордовия;0.0017744994491953711
06.04.2020;Республика Саха (Якутия);0.000844405664332453
06.04.2020;Республика Северная Осетия — Алания;0.0027278158846418877
06.04.2020;Республика Татарстан;0.0010968456772614866
06.04.2020;Республика Тыва;0.0007992703549737261
06.04.2020;Республика Хакасия;0.0011162520720429088
06.04.2020;Ростовская область;0.0006126628820122313
06.04.2020;Рязанская область;0.0030826776698727365
06.04.2020;Самарская область;0.00026392780581426694
06.04.2020;Санкт-Петербург;0.006203363830091359
06.04.2020;Саратовская область;0.0011658493154260425
06.04.2020;Сахалинская область;0.001253181405002875
06.04.2020;Свердловская область;0.0008125035175457163
06.04.2020;Севастополь;0.0008833084153119879
06.04.2020;Смоленская область;0.000993162826336752
06.04.2020;Ставропольский край;0.0014639333246211448
06.04.2020;Тамбовская область;0.002211513582010664
06.04.2020;Тверская область;0.0012907373682154364
06.04.2020;Томская область;0.00019872919305348731
06.04.2020;Тульская область;0.003648382143611238
06.04.2020;Тюменская область;0.001267698573305337
06.04.2020;Удмуртская Республика;0.0004343184052432428
06.04.2020;Ульяновская область;0.0020398046096375497
06.04.2020;Хабаровский край;0.0014088878669373166
06.04.2020;Ханты-Мансийский автономный округ - Югра;0.0020542888112555693
06.04.2020;Челябинская область;0.0008015949449132503
06.04.2020;Чеченская Республика;0.0007953182003499998
06.04.2020;Чувашская Республика;0.001786995062207735
06.04.2020;Чукотский автономный округ;0
06.04.2020;Ямало-Ненецкий автономный округ;0.007268234182505361
06.04.2020;Ярославская область;0.0009255300465428744
13.04.2020;Алтайский край;0.001933064892623716
13.04.2020;Амурская область;0.0009482967159590107
13.04.2020;Архангельская область;0.0031502271313761723
13.04.2020;Астраханская область;0.0057984460164675865
13.04.2020;Белгородская область;0.003373541772742741
13.04.2020;Брянская область;0.015123499535323989
13.04.2020;Владимирская область;0.01079976398058986
13.04.2020;Волгоградская область;0.0019604585705242676
13.04.2020;Вологодская область;0.005159756376942906
13.04.2020;Воронежская область;0.0032381722849669967
13.04.2020;Еврейская автономная область;0.007054064110861671
13.04.2020;Забайкальский край;0.0020506969573249965
13.04.2020;Ивановская область;0.012221011071841805
13.04.2020;Иркутская область;0.0015508606533876947
13.04.2020;Кабардино-Балкарская Республика;0.00874472594028903
13.04.2020;Калининградская область;0.007138555337377174
13.04.2020;Калужская область;0.009371790796788524
13.04.2020;Камчатский край;0.0061569134668447946
13.04.2020;Карачаево-Черкесская Республика;0.007536452995969836
13.04.2020;Кемеровская область (Кузбасс);0.0005831169925115586
13.04.2020;Кировская область;0.0056998668324081065
13.04.2020;Костромская область;0.004885341045658397
13.04.2020;Краснодарский край;0.004122482341141659
13.04.2020;Красноярский край;0.006366871133286673
13.04.2020;Курганская область;0.0008785625500210433
13.04.2020;Курская область;0.010119565873185956
13.04.2020;Ленинградская область;0.0164373264511316
13.04.2020;Липецкая область;0.006644801337207273
13.04.2020;Магаданская область;0.01606127873556096
13.04.2020;Москва;0.12377823790286527
13.04.2020;Московская область;0.04000860944760265
13.04.2020;Мурманская область;0.031867908750480345
13.04.2020;Ненецкий автономный округ;0.0016234873156936024
13.04.2020;Нижегородская область;0.011954990234623418
13.04.2020;Новгородская область;0.008315015174313812
13.04.2020;Новосибирская область;0.0018440787374494434
13.04.2020;Омская область;0.000801716138990466
13.04.2020;Оренбургская область;0.004290655040002774
13.04.2020;Орловская область;0.009233894548924251
13.04.2020;Пензенская область;0.007906380728170155
13.04.2020;Пермский край;0.0040900009334569375
13.04.2020;Приморский край;0.002210397095597957
13.04.2020;Псковская область;0.0032317269406183643
13.04.2020;Республика Адыгея;0.008854208679519238
13.04.2020;Республика Алтай;0.0003275593357358719
13.04.2020;Республика Башкортостан;0.004138093343080529
13.04.2020;Республика Бурятия;0.0073277857883616475
13.04.2020;Республика Дагестан;0.004979672166919731
13.04.2020;Республика Ингушетия;0.027368782785825958
13.04.2020;Республика Калмыкия;0.013330629169387688
13.04.2020;Республика Карелия;0.0014687698226552239
13.04.2020;Республика Коми;0.046108542635366546
13.04.2020;Республика Крым;0.0011645165535654847
13.04.2020;Республика Марий Эл;0.020748143292414197
13.04.2020;Республика Мордовия;0.014657365450353765
13.04.2020;Республика Саха (Якутия);0.0027998714133128703
13.04.2020;Республика Северная Осетия — Алания;0.008834866372646114
13.04.2020;Республика Татарстан;0.002923699012633461
13.04.2020;Республика Тыва;0.002531022790750133
13.04.2020;Республика Хакасия;0.005740724941934959
13.04.2020;Ростовская область;0.0032528675669268193
13.04.2020;Рязанская область;0.014177769613918825
13.04.2020;Самарская область;0.0011854384498437413
13.04.2020;Санкт-Петербург;0.01974185838526493
13.04.2020;Саратовская область;0.0026275111437213793
13.04.2020;Сахалинская область;0.0017194814626783634
13.04.2020;Свердловская область;0.0015721612778526865
13.04.2020;Севастополь;0.0017011865776379025
13.04.2020;Смоленская область;0.011406324581261484
13.04.2020;Ставропольский край;0.004636638996796587
13.04.2020;Тамбовская область;0.010836416551852253
13.04.2020;Тверская область;0.011850304285771034
13.04.2020;Томская область;0.0014043529642446435
13.04.2020;Тульская область;0.00994926259110781
13.04.2020;Тюменская область;0.007520407325848956
13.04.2020;Удмуртская Республика;0.002313217593143359
13.04.2020;Ульяновская область;0.00963750380171449
13.04.2020;Хабаровский край;0.0068508516888478675
13.04.2020;Ханты-Мансийский автономный округ - Югра;0.00564497849815606
13.04.2020;Челябинская область;0.0009570062097433702
13.04.2020;Чеченская Республика;0.006869560955523122
13.04.2020;Чувашская Республика;0.009259883504167354
13.04.2020;Чукотский автономный округ;0.002315913801688301
13.04.2020;Ямало-Ненецкий автономный округ;0.015836262069181387
13.04.2020;Ярославская область;0.004559928521991723
20.04.2020;Алтайский край;0.006376682617491441
20.04.2020;Амурская область;0.0027375358026741252
20.04.2020;Архангельская область;0.010273597869263516
