"Дата";"Регион название";"Больные";"Заражений";"Выздоровлений";"Выздоровлений за день";"Смертей";"Смертей за день";"Заражений за день";"Регион население"
06.04.2020;Забайкальский край;19;26;7;0;0;0;7;7509642
06.04.2020;Ивановская область;358;389;31;6;0;0;57;7102522
06.04.2020;Иркутская область;117;128;0;0;11;2;20;16829365
06.04.2020;Кабардино-Балкарская Республика;150;159;9;3;0;0;27;6060796
06.04.2020;Калининградская область;295;365;68;11;2;1;51;6962193
06.04.2020;Калужская область;92;106;14;4;0;0;18;7085092
06.04.2020;Камчатский край;36;36;0;0;0;0;8;2208899
06.04.2020;Карачаево-Черкесская Республика;43;43;0;0;0;0;11;3264135
06.04.2020;Кемеровская область (Кузбасс);41;59;18;1;0;0;9;18864139
06.04.2020;Кировская область;135;186;51;6;0;0;18;8982666
06.04.2020;Костромская область;63;87;16;3;8;1;10;4503268
06.04.2020;Краснодарский край;609;733;112;21;12;3;130;39223940
06.04.2020;Красноярский край;278;326;48;4;0;0;56;20135479
06.04.2020;Курганская область;13;20;7;0;0;0;2;5918759
06.04.2020;Курская область;132;144;12;3;0;0;39;7806659
06.04.2020;Ленинградская область;716;732;16;2;0;0;82;12696712
06.04.2020;Липецкая область;273;320;47;6;0;0;45;8051407
06.04.2020;Магаданская область;3;7;4;1;0;0;0;1008637
06.04.2020;Москва;46180;49036;2547;489;309;43;6265;87545276
06.04.2020;Московская область;5038;5510;393;42;79;16;1055;52523695
06.04.2020;Мурманская область;355;385;30;9;0;0;113;5274899
06.04.2020;Ненецкий автономный округ;0;0;0;0;0;0;0;307979
06.04.2020;Нижегородская область;661;744;80;13;3;1;147;22643264
06.04.2020;Новгородская область;68;81;13;4;0;0;15;4245332
06.04.2020;Новосибирская область;94;130;36;8;0;0;17;19521943
06.04.2020;Омская область;96;107;11;5;0;0;9;13720567
06.04.2020;Оренбургская область;120;147;20;4;7;0;13;13844040
06.04.2020;Орловская область;112;130;18;3;0;0;23;5230729
06.04.2020;Пензенская область;374;388;7;0;7;0;40;9321585
06.04.2020;Пермский край;202;276;56;12;18;1;39;18361854
06.04.2020;Приморский край;90;117;14;0;13;1;17;13391259
06.04.2020;Псковская область;57;102;31;3;14;0;7;4455822
06.04.2020;Республика Адыгея;101;112;11;5;0;0;13;3173632
06.04.2020;Республика Алтай;0;0;0;0;0;0;0;1526441
06.04.2020;Республика Башкортостан;208;249;40;2;1;1;74;28443051
06.04.2020;Республика Бурятия;328;384;50;15;6;1;38;6891577
06.04.2020;Республика Дагестан;367;400;33;9;0;0;59;21447195
06.04.2020;Республика Ингушетия;144;145;0;0;1;1;28;3416301
06.04.2020;Республика Калмыкия;121;143;22;5;0;0;25;1927891
06.04.2020;Республика Карелия;14;14;0;0;0;0;2;4357388
06.04.2020;Республика Коми;1056;1084;7;0;21;1;149;5886111
06.04.2020;Республика Крым;130;181;51;9;0;0;11;13396117
06.04.2020;Республика Марий Эл;288;303;12;5;3;1;66;4776331
06.04.2020;Республика Мордовия;100;122;22;2;0;0;37;5635392
06.04.2020;Республика Саха (Якутия);57;119;62;9;0;0;7;6750310
06.04.2020;Республика Северная Осетия — Алания;134;142;3;1;5;1;29;4912355
06.04.2020;Республика Татарстан;299;369;70;8;0;0;48;27259988
06.04.2020;Республика Тыва;18;18;0;0;0;0;6;2252054
06.04.2020;Республика Хакасия;42;55;13;2;0;0;9;3762591
06.04.2020;Ростовская область;181;190;9;4;0;0;43;29543164
06.04.2020;Рязанская область;242;262;20;2;0;0;59;7850318
06.04.2020;Самарская область;59;135;76;6;0;0;7;22354598
06.04.2020;Санкт-Петербург;2324;2676;330;67;22;2;366;37463545
06.04.2020;Саратовская область;201;211;10;1;0;0;23;17240650
06.04.2020;Сахалинская область;43;67;24;4;0;0;5;3431267
06.04.2020;Свердловская область;246;423;177;22;0;0;38;30276792
06.04.2020;Севастополь;27;37;10;2;0;0;1;3056690
06.04.2020;Смоленская область;66;71;4;1;1;1;15;6645436
06.04.2020;Ставропольский край;287;332;40;8;5;2;63;19604718
06.04.2020;Тамбовская область;160;186;26;4;0;0;41;7234864
06.04.2020;Тверская область;116;133;17;1;0;0;25;8987111
06.04.2020;Томская область;15;26;11;2;0;0;1;7547960
06.04.2020;Тульская область;381;424;43;6;0;0;45;10442985
06.04.2020;Тюменская область;133;157;24;6;0;0;28;10491453
06.04.2020;Удмуртская Республика;46;67;21;0;0;0;8;10591308
06.04.2020;Ульяновская область;178;188;10;1;0;0;69;8726326
